"theta","items","measurement"
-4,"madde_1",0.00669285092428486
-3.99,"madde_1",0.00675966051071325
-3.98,"madde_1",0.00682713242213816
-3.97,"madde_1",0.00689527313264614
-3.96,"madde_1",0.00696408917776209
-3.95,"madde_1",0.00703358715499516
-3.94,"madde_1",0.00710377372438878
-3.93,"madde_1",0.00717465560907474
-3.92,"madde_1",0.00724623959583143
-3.91,"madde_1",0.00731853253564622
-3.9,"madde_1",0.00739154134428197
-3.89,"madde_1",0.00746527300284768
-3.88,"madde_1",0.00753973455837339
-3.87,"madde_1",0.00761493312438916
-3.86,"madde_1",0.00769087588150834
-3.85,"madde_1",0.007767570078015
-3.84,"madde_1",0.00784502303045563
-3.83,"madde_1",0.00792324212423498
-3.82,"madde_1",0.00800223481421624
-3.81,"madde_1",0.00808200862532539
-3.8,"madde_1",0.0081625711531599
-3.79,"madde_1",0.00824393006460156
-3.78,"madde_1",0.00832609309843379
-3.77,"madde_1",0.00840906806596298
-3.76,"madde_1",0.00849286285164435
-3.75,"madde_1",0.00857748541371198
-3.74,"madde_1",0.00866294378481316
-3.73,"madde_1",0.00874924607264706
-3.72,"madde_1",0.00883640046060772
-3.71,"madde_1",0.00892441520843132
-3.7,"madde_1",0.00901329865284782
-3.69,"madde_1",0.00910305920823689
-3.68,"madde_1",0.00919370536728809
-3.67,"madde_1",0.00928524570166557
-3.66,"madde_1",0.00937768886267686
-3.65,"madde_1",0.00947104358194611
-3.64,"madde_1",0.00956531867209167
-3.63,"madde_1",0.0096605230274079
-3.62,"madde_1",0.00975666562455136
-3.61,"madde_1",0.00985375552323127
-3.6,"madde_1",0.00995180186690432
-3.59,"madde_1",0.0100508138834738
-3.58,"madde_1",0.0101508008859927
-3.57,"madde_1",0.010251772273372
-3.56,"madde_1",0.0103537375310917
-3.55,"madde_1",0.0104567062319181
-3.54,"madde_1",0.0105606880366231
-3.53,"madde_1",0.01066569269471
-3.52,"madde_1",0.0107717300451416
-3.51,"madde_1",0.0108788100170739
-3.5,"madde_1",0.0109869426305932
-3.49,"madde_1",0.0110961379974576
-3.48,"madde_1",0.0112064063218429
-3.47,"madde_1",0.0113177579010923
-3.46,"madde_1",0.0114302031264707
-3.45,"madde_1",0.0115437524839223
-3.44,"madde_1",0.0116584165548331
-3.43,"madde_1",0.0117742060167972
-3.42,"madde_1",0.011891131644387
-3.41,"madde_1",0.0120092043099274
-3.4,"madde_1",0.0121284349842742
